"","year","month","date_of_month","day_of_week","births"
"430",1995,3,6,1,10810
"431",1995,3,7,2,12115
"432",1995,3,8,3,11618
"433",1995,3,9,4,11380
"434",1995,3,10,5,11827
"435",1995,3,11,6,8744
"436",1995,3,12,7,7859
"437",1995,3,13,1,10609
"438",1995,3,14,2,11750
"439",1995,3,15,3,11736
"440",1995,3,16,4,11751
"441",1995,3,17,5,11953
"442",1995,3,18,6,8538
"443",1995,3,19,7,7787
"444",1995,3,20,1,10588
"445",1995,3,21,2,11837
"446",1995,3,22,3,11485
"447",1995,3,23,4,11435
"448",1995,3,24,5,11329
"449",1995,3,25,6,8628
"450",1995,3,26,7,7614
"451",1995,3,27,1,10541
"452",1995,3,28,2,11563
"453",1995,3,29,3,11125
"454",1995,3,30,4,11205
"455",1995,3,31,5,11319
"456",1995,4,1,6,8398
"457",1995,4,2,7,7547
"458",1995,4,3,1,10651
"459",1995,4,4,2,11960
"460",1995,4,5,3,11475
"461",1995,4,6,4,11429
"462",1995,4,7,5,11587
"463",1995,4,8,6,8588
"464",1995,4,9,7,7839
"465",1995,4,10,1,10930
"466",1995,4,11,2,11939
"467",1995,4,12,3,11750
"468",1995,4,13,4,11411
"469",1995,4,14,5,10687
"470",1995,4,15,6,8492
"471",1995,4,16,7,7503
"472",1995,4,17,1,10640
"473",1995,4,18,2,11652
"474",1995,4,19,3,11680
"475",1995,4,20,4,11504
"476",1995,4,21,5,11445
"477",1995,4,22,6,8560
"478",1995,4,23,7,7749
"479",1995,4,24,1,11014
"480",1995,4,25,2,11811
"481",1995,4,26,3,11551
"482",1995,4,27,4,11601
"483",1995,4,28,5,11457
"484",1995,4,29,6,8492
"485",1995,4,30,7,7777
"486",1995,5,1,1,11090
"487",1995,5,2,2,12119
"488",1995,5,3,3,11502
"489",1995,5,4,4,11800
"490",1995,5,5,5,11718
"491",1995,5,6,6,8565
"492",1995,5,7,7,7965
"493",1995,5,8,1,10790
"494",1995,5,9,2,11728
"495",1995,5,10,3,11723
"496",1995,5,11,4,11723
"497",1995,5,12,5,11625
"498",1995,5,13,6,8802
"499",1995,5,14,7,8165
"500",1995,5,15,1,11143
"501",1995,5,16,2,12101
"502",1995,5,17,3,12085
"503",1995,5,18,4,11872
"504",1995,5,19,5,11692
"505",1995,5,20,6,8721
"506",1995,5,21,7,8096
"507",1995,5,22,1,11250
"508",1995,5,23,2,12539
"509",1995,5,24,3,12193
"510",1995,5,25,4,12285
"511",1995,5,26,5,12246
"512",1995,5,27,6,8795
"513",1995,5,28,7,8167
"514",1995,5,29,1,8379
"515",1995,5,30,2,11271
"516",1995,5,31,3,12393
"517",1995,6,1,4,12243
"518",1995,6,2,5,11991
"519",1995,6,3,6,9069
"520",1995,6,4,7,8059
"521",1995,6,5,1,11152
"522",1995,6,6,2,12119
"523",1995,6,7,3,11774
"524",1995,6,8,4,12031
"525",1995,6,9,5,11645
"526",1995,6,10,6,8719
"527",1995,6,11,7,8149
"528",1995,6,12,1,11169
"529",1995,6,13,2,11790
"530",1995,6,14,3,11958
"531",1995,6,15,4,11906
"532",1995,6,16,5,11856
"533",1995,6,17,6,8821
"534",1995,6,18,7,8203
"535",1995,6,19,1,11223
"536",1995,6,20,2,12395
"537",1995,6,21,3,12049
"538",1995,6,22,4,11799
"539",1995,6,23,5,11942
"540",1995,6,24,6,9065
"541",1995,6,25,7,8279
"542",1995,6,26,1,11127
"543",1995,6,27,2,12349
"544",1995,6,28,3,12162
"545",1995,6,29,4,12423
"546",1995,6,30,5,12338
"547",1995,7,1,6,9283
"548",1995,7,2,7,8256
"549",1995,7,3,1,10623
"550",1995,7,4,2,9374
"551",1995,7,5,3,11399
"552",1995,7,6,4,12855
"553",1995,7,7,5,12954
"554",1995,7,8,6,9438
"555",1995,7,9,7,8506
"556",1995,7,10,1,11618
"557",1995,7,11,2,12552
"558",1995,7,12,3,12167
"559",1995,7,13,4,12253
"560",1995,7,14,5,12659
"561",1995,7,15,6,9391
"562",1995,7,16,7,8516
"563",1995,7,17,1,11461
"564",1995,7,18,2,12495
"565",1995,7,19,3,12129
"566",1995,7,20,4,12598
"567",1995,7,21,5,12428
"568",1995,7,22,6,9328
"569",1995,7,23,7,8483
"570",1995,7,24,1,11501
"571",1995,7,25,2,12580
"572",1995,7,26,3,12316
"573",1995,7,27,4,12309
"574",1995,7,28,5,12442
"575",1995,7,29,6,9277
"576",1995,7,30,7,8384
"577",1995,7,31,1,11298
"578",1995,8,1,2,12442
"579",1995,8,2,3,12249
"580",1995,8,3,4,12193
"581",1995,8,4,5,12186
"582",1995,8,5,6,9267
"583",1995,8,6,7,8346
"584",1995,8,7,1,11223
"585",1995,8,8,2,12441
"586",1995,8,9,3,12217
"587",1995,8,10,4,12243
"588",1995,8,11,5,12154
"589",1995,8,12,6,9153
"590",1995,8,13,7,8421
"591",1995,8,14,1,11297
"592",1995,8,15,2,12760
"593",1995,8,16,3,12244
"594",1995,8,17,4,12345
"595",1995,8,18,5,12362
"596",1995,8,19,6,9265
"597",1995,8,20,7,8434
"598",1995,8,21,1,11436
"599",1995,8,22,2,12612
"600",1995,8,23,3,12083
"601",1995,8,24,4,12381
"602",1995,8,25,5,12208
"603",1995,8,26,6,9155
"604",1995,8,27,7,8509
"605",1995,8,28,1,11473
"606",1995,8,29,2,12522
"607",1995,8,30,3,12631
"608",1995,8,31,4,12485
"609",1995,9,1,5,12439
"610",1995,9,2,6,9079
"611",1995,9,3,7,8438
"612",1995,9,4,1,8441
"613",1995,9,5,2,11682
"614",1995,9,6,3,12951
"615",1995,9,7,4,12924
"616",1995,9,8,5,12939
"617",1995,9,9,6,9714
"618",1995,9,10,7,8568
"619",1995,9,11,1,11480
"620",1995,9,12,2,12583
"621",1995,9,13,3,12173
"622",1995,9,14,4,12789
"623",1995,9,15,5,13023
"624",1995,9,16,6,9535
"625",1995,9,17,7,8757
"626",1995,9,18,1,11729
"627",1995,9,19,2,12692
"628",1995,9,20,3,12571
"629",1995,9,21,4,12663
"630",1995,9,22,5,12813
"631",1995,9,23,6,9341
"632",1995,9,24,7,8659
"633",1995,9,25,1,11552
"634",1995,9,26,2,12814
"635",1995,9,27,3,12605
"636",1995,9,28,4,12845
"637",1995,9,29,5,12316
"638",1995,9,30,6,8988
"639",1995,10,1,7,8545
"640",1995,10,2,1,11650
"641",1995,10,3,2,12375
"642",1995,10,4,3,12016
"643",1995,10,5,4,12245
"644",1995,10,6,5,12081
"645",1995,10,7,6,9048
"646",1995,10,8,7,7997
"647",1995,10,9,1,10892
"648",1995,10,10,2,12273
"649",1995,10,11,3,11843
"650",1995,10,12,4,12002
"651",1995,10,13,5,11078
"652",1995,10,14,6,8920
"653",1995,10,15,7,7996
"654",1995,10,16,1,10840
"655",1995,10,17,2,11974
"656",1995,10,18,3,11693
"657",1995,10,19,4,11463
"658",1995,10,20,5,11610
"659",1995,10,21,6,8673
"660",1995,10,22,7,7827
"661",1995,10,23,1,10770
"662",1995,10,24,2,11916
"663",1995,10,25,3,11573
"664",1995,10,26,4,11534
"665",1995,10,27,5,11449
"666",1995,10,28,6,8633
"667",1995,10,29,7,7876
"668",1995,10,30,1,10480
"669",1995,10,31,2,10740
"670",1995,11,1,3,11702
"671",1995,11,2,4,11746
"672",1995,11,3,5,11368
"673",1995,11,4,6,8438
"674",1995,11,5,7,7868
"675",1995,11,6,1,10809
"676",1995,11,7,2,12038
"677",1995,11,8,3,11702
"678",1995,11,9,4,11441
"679",1995,11,10,5,11246
"680",1995,11,11,6,8522
"681",1995,11,12,7,7891
"682",1995,11,13,1,10534
"683",1995,11,14,2,11455
"684",1995,11,15,3,11629
"685",1995,11,16,4,11436
"686",1995,11,17,5,11410
"687",1995,11,18,6,8493
"688",1995,11,19,7,7772
"689",1995,11,20,1,11476
"690",1995,11,21,2,12503
"691",1995,11,22,3,11304
"692",1995,11,23,4,7754
"693",1995,11,24,5,9125
"694",1995,11,25,6,8115
"695",1995,11,26,7,7500
"696",1995,11,27,1,10979
"697",1995,11,28,2,12002
"698",1995,11,29,3,11344
"699",1995,11,30,4,11215
"700",1995,12,1,5,11206
"701",1995,12,2,6,8429
"702",1995,12,3,7,7703
"703",1995,12,4,1,10346
"704",1995,12,5,2,11676
"705",1995,12,6,3,11188
"706",1995,12,7,4,11242
"707",1995,12,8,5,11166
"708",1995,12,9,6,8201
"709",1995,12,10,7,7595
"710",1995,12,11,1,10429
"711",1995,12,12,2,11784
"712",1995,12,13,3,11191
"713",1995,12,14,4,11403
"714",1995,12,15,5,11458
"715",1995,12,16,6,8509
"716",1995,12,17,7,7759
"717",1995,12,18,1,11139
"718",1995,12,19,2,12501
"719",1995,12,20,3,12043
"720",1995,12,21,4,11944
"721",1995,12,22,5,11204
"722",1995,12,23,6,8058
"723",1995,12,24,7,6999
"724",1995,12,25,1,7027
"725",1995,12,26,2,9447
"726",1995,12,27,3,11897
"727",1995,12,28,4,12530
"728",1995,12,29,5,12207
"729",1995,12,30,6,9093
"730",1995,12,31,7,7596
"731",1996,1,1,1,7683
"732",1996,1,2,2,9408
"733",1996,1,3,3,10954
"734",1996,1,4,4,11308
"735",1996,1,5,5,11631
"736",1996,1,6,6,8680
"737",1996,1,7,7,7735
"738",1996,1,8,1,10044
"739",1996,1,9,2,11018
"740",1996,1,10,3,11144
"741",1996,1,11,4,11304
"742",1996,1,12,5,11274
"743",1996,1,13,6,8488
"744",1996,1,14,7,7685
"745",1996,1,15,1,9912
"746",1996,1,16,2,11181
"747",1996,1,17,3,11148
"748",1996,1,18,4,11579
"749",1996,1,19,5,11292
"750",1996,1,20,6,8492
"751",1996,1,21,7,7701
"752",1996,1,22,1,10593
"753",1996,1,23,2,11451
"754",1996,1,24,3,11336
"755",1996,1,25,4,11405
"756",1996,1,26,5,11195
"757",1996,1,27,6,8487
"758",1996,1,28,7,7533
"759",1996,1,29,1,10374
"760",1996,1,30,2,11359
"761",1996,1,31,3,10889
"762",1996,2,1,4,11030
"763",1996,2,2,5,11335
"764",1996,2,3,6,8390
"765",1996,2,4,7,7531
"766",1996,2,5,1,10364
"767",1996,2,6,2,11360
"768",1996,2,7,3,11204
"769",1996,2,8,4,11529
"770",1996,2,9,5,11577
"771",1996,2,10,6,8578
"772",1996,2,11,7,7710
"773",1996,2,12,1,10542
"774",1996,2,13,2,11322
"775",1996,2,14,3,12094
"776",1996,2,15,4,11820
"777",1996,2,16,5,11666
"778",1996,2,17,6,8465
"779",1996,2,18,7,7763
"780",1996,2,19,1,10036
"781",1996,2,20,2,11598
"782",1996,2,21,3,11554
"783",1996,2,22,4,11697
"784",1996,2,23,5,11415
"785",1996,2,24,6,8692
"786",1996,2,25,7,7917
"787",1996,2,26,1,10693
"788",1996,2,27,2,11761
"789",1996,2,28,3,11428
"790",1996,2,29,4,10692
"791",1996,3,1,5,11785
"792",1996,3,2,6,8719
"793",1996,3,3,7,7885
"794",1996,3,4,1,10586
"795",1996,3,5,2,11475
"796",1996,3,6,3,11535
"797",1996,3,7,4,11446
"798",1996,3,8,5,11272
"799",1996,3,9,6,8611
"800",1996,3,10,7,7512
"801",1996,3,11,1,10668
"802",1996,3,12,2,11623
"803",1996,3,13,3,11338
"804",1996,3,14,4,11578
"805",1996,3,15,5,11860
"806",1996,3,16,6,8691
"807",1996,3,17,7,8010
"808",1996,3,18,1,10812
"809",1996,3,19,2,11764
"810",1996,3,20,3,11482
"811",1996,3,21,4,11653
"812",1996,3,22,5,11727
"813",1996,3,23,6,8534
"814",1996,3,24,7,8002
"815",1996,3,25,1,10662
"816",1996,3,26,2,11764
"817",1996,3,27,3,11532
"818",1996,3,28,4,11728
"819",1996,3,29,5,11659
"820",1996,3,30,6,8712
"821",1996,3,31,7,7956
"822",1996,4,1,1,10173
"823",1996,4,2,2,12055
"824",1996,4,3,3,11622
"825",1996,4,4,4,11881
"826",1996,4,5,5,10985
"827",1996,4,6,6,8354
"828",1996,4,7,7,7372
"829",1996,4,8,1,10659
"830",1996,4,9,2,11631
"831",1996,4,10,3,11429
"832",1996,4,11,4,11489
"833",1996,4,12,5,11462
"834",1996,4,13,6,8565
"835",1996,4,14,7,7687
"836",1996,4,15,1,10548
"837",1996,4,16,2,11754
"838",1996,4,17,3,11554
"839",1996,4,18,4,11282
"840",1996,4,19,5,11438
"841",1996,4,20,6,8451
"842",1996,4,21,7,7789
"843",1996,4,22,1,10957
"844",1996,4,23,2,11979
"845",1996,4,24,3,11342
"846",1996,4,25,4,11340
"847",1996,4,26,5,11070
"848",1996,4,27,6,8444
"849",1996,4,28,7,7567
"850",1996,4,29,1,10325
"851",1996,4,30,2,11391
"852",1996,5,1,3,11390
"853",1996,5,2,4,11397
"854",1996,5,3,5,11011
"855",1996,5,4,6,8483
"856",1996,5,5,7,7821
"857",1996,5,6,1,10585
"858",1996,5,7,2,11567
"859",1996,5,8,3,11403
"860",1996,5,9,4,11404
"861",1996,5,10,5,11471
"862",1996,5,11,6,8495
"863",1996,5,12,7,7758
"864",1996,5,13,1,10291
"865",1996,5,14,2,11757
"866",1996,5,15,3,11619
"867",1996,5,16,4,11637
"868",1996,5,17,5,11370
"869",1996,5,18,6,8696
"870",1996,5,19,7,7906
"871",1996,5,20,1,11073
"872",1996,5,21,2,11962
"873",1996,5,22,3,11733
"874",1996,5,23,4,11511
"875",1996,5,24,5,11835
"876",1996,5,25,6,8666
"877",1996,5,26,7,7746
"878",1996,5,27,1,8034
"879",1996,5,28,2,11151
"880",1996,5,29,3,12119
"881",1996,5,30,4,11964
"882",1996,5,31,5,11853
"883",1996,6,1,6,8866
"884",1996,6,2,7,7962
"885",1996,6,3,1,10916
"886",1996,6,4,2,11783
"887",1996,6,5,3,11695
"888",1996,6,6,4,11849
"889",1996,6,7,5,11750
"890",1996,6,8,6,8739
"891",1996,6,9,7,8013
"892",1996,6,10,1,10927
"893",1996,6,11,2,11978
"894",1996,6,12,3,11710
"895",1996,6,13,4,11521
"896",1996,6,14,5,11644
"897",1996,6,15,6,8783
"898",1996,6,16,7,8004
"899",1996,6,17,1,10981
"900",1996,6,18,2,12105
"901",1996,6,19,3,11779
"902",1996,6,20,4,12052
"903",1996,6,21,5,11759
"904",1996,6,22,6,8946
"905",1996,6,23,7,8128
"906",1996,6,24,1,11080
"907",1996,6,25,2,12150
"908",1996,6,26,3,12154
"909",1996,6,27,4,11957
"910",1996,6,28,5,12057
"911",1996,6,29,6,8956
"912",1996,6,30,7,8281
"913",1996,7,1,1,11779
"914",1996,7,2,2,13167
"915",1996,7,3,3,12563
"916",1996,7,4,4,9358
"917",1996,7,5,5,10823
"918",1996,7,6,6,9044
"919",1996,7,7,7,8248
"920",1996,7,8,1,11385
"921",1996,7,9,2,12623
"922",1996,7,10,3,12362
"923",1996,7,11,4,12256
"924",1996,7,12,5,11976
"925",1996,7,13,6,9152
"926",1996,7,14,7,8358
"927",1996,7,15,1,11421
"928",1996,7,16,2,12619
"929",1996,7,17,3,12660
